cooled,middle,measure,1mmAbove,1mmbelov
1123.15,1123.15,1123.15,1123.1499999999996,1123.1499999999996
1123.1570688198958,1123.152053478389,1123.150721715627,1123.1507663974428,1123.1506774011118
1123.1637092534136,1123.153982511371,1123.1513996936644,1123.151486349478,1123.1513137501936
1123.1699315822084,1123.1557900857463,1123.1520349838536,1123.1521609708366,1123.1519100325304
1123.17574136494,1123.1574778162953,1123.1526281537247,1123.1527908641845,1123.1524667808055
1123.1811489895792,1123.1590487207034,1123.1531802638738,1123.1533771557804,1123.1529849904923
1123.186164432235,1123.1605056970097,1123.1536923328465,1123.1539209272282,1123.1534656175959
1123.190793869374,1123.1618505394672,1123.15416499125,1123.1544228481769,1123.1539092540038
1123.195047376706,1123.1630861750486,1123.154599267799,1123.1548840110286,1123.1543168652654
1123.1989336962483,1123.1642151432936,1123.1549960550406,1123.155305363589,1123.1546892891238
1123.202461570015,1123.1652399837405,1123.15535624552,1123.1556878536617,1123.1550273633218
1123.2056405096557,1123.166163459504,1123.1556808103624,1123.1560325124942,1123.1553319993538
1123.208477631747,1123.1669876379367,1123.1559704761594,1123.156340111662,1123.1556038791994
1123.2109825363493,1123.1677153078367,1123.1562262230623,1123.156611691998,1123.155843922826
1123.2131644832875,1123.1683491591652,1123.1564489964846,1123.156848257447,1123.1560530175977
1123.2150310995005,1123.1688914075335,1123.1566395751258,1123.1570506349183,1123.1562318944
1123.2165917265093,1123.169344766635,1123.1567989127404,1123.1572198372132,1123.1563814484255
1123.2178551063303,1123.1697117760084,1123.156927901875,1123.1573568121366,1123.1565025174168
1123.2188299809784,1123.1699949751915,1123.1570274350754,1123.157462507493,1123.1565959391169
1123.2195252353556,1123.1701969452317,1123.1570984194773,1123.1575378865787,1123.1566625649607
1123.2199492574398,1123.1703201228202,1123.1571417114787,1123.1575838588121,1123.156703198763
1123.2201110026376,1123.1703671094842,1123.1571582254144,1123.157601395135,1123.156718698716
1123.2200191577479,1123.1703404287232,1123.1571488481925,1123.157591437364,1123.1567098972707
1123.219682513668,1123.1702426342747,1123.1571144773507,1123.1575549386039,1123.1566776368545
1123.2191098209862,1123.170076268168,1123.1570560063096,1123.1574928475882,1123.1566227560306
1123.2183098217188,1123.1698438699414,1123.156974327616,1123.1574061121212,1123.156546092542
1123.2172912578822,1123.169547979134,1123.1568703338166,1123.1572956800078,1123.1564484841313
1123.2160625308845,1123.1691910363384,1123.1567448826818,1123.1571624621238,1123.1563307359006
1123.2146330135947,1123.1687757643547,1123.1565989311678,1123.1570074746703,1123.1561937460472
1123.213011160021,1123.1683046190556,1123.1564333424155,1123.1568316342257,1123.1560383247136
1123.211205227193,1123.1677799990923,1123.1562489594544,1123.156635836013,1123.1558652631668
1123.2092248834529,1123.1672047130994,1123.156046769408,1123.1564211282682,1123.1556754879186
1123.2070784317136,1123.1665811730568,1123.1558276199903,1123.1561884111882,1123.155469794632
1123.2047746139913,1123.165911918503,1123.1555924037484,1123.1559386325775,1123.1552490210504
1123.202322172302,1123.165199488977,1123.155342013228,1123.1556727402408,1123.1550140049158
1123.19972916782,1123.1644462262336,1123.155077271463,1123.155391608166,1123.1547655187264
1123.197005671789,1123.1636550559497,1123.1547992067117,1123.155096328271,1123.1545045276039
1123.1941597800767,1123.1628283299597,1123.15450864555,1123.154787778306,1123.1542318073703
1123.1911994632005,1123.1619683636827,1123.1542064017551,1123.1544668224296,1123.153948121837
1123.1881349804326,1123.161078137417,1123.153893522783,1123.1541345729463,1123.1536544541434
1123.1849743302687,1123.1601599747107,1123.1535708252682,1123.1537918970484,1123.1533515707813
1123.1817262547245,1123.1592164151018,1123.1532392017562,1123.15343974254,1123.153040309493
1123.1783994958157,1123.1582499981291,1123.152899544794,1123.1530790572265,1123.1527215080216
1123.1750019177384,1123.1572630083263,1123.152552657304,1123.1527106937388,1123.1523959199883
