cooledVariable,middle,measureVariable,1mmAbove,1mmbelov
1123.15,1123.15,1123.15,1123.1499999999996,1123.1499999999996
1123.1528074381786,1123.152053478389,1123.1527881700683,1123.1507663974428,1123.1506774011118
1123.1554447417416,1123.153982511371,1123.1554073732118,1123.151486349478,1123.1513137501936
1123.1579159939783,1123.1557900857463,1123.1578616646946,1123.1521609708366,1123.1519100325304
1123.1602234023992,1123.1574778162953,1123.1601532368745,1123.1527908641845,1123.1524667808055
1123.1623710925178,1123.1590487207034,1123.1622861869507,1123.1533771557804,1123.1529849904923
1123.164363026275,1123.1605056970097,1123.1642644496703,1123.1539209272282,1123.1534656175959
1123.1662016565458,1123.1618505394672,1123.166090461073,1123.1544228481769,1123.1539092540038
1123.167890984827,1123.1630861750486,1123.167768195192,1123.1548840110286,1123.1543168652654
1123.1694344829282,1123.1642151432936,1123.1693011000068,1123.155305363589,1123.1546892891238
1123.1708356226566,1123.1652399837405,1123.1706926234963,1123.1556878536617,1123.1550273633218
1123.172098181491,1123.166163459504,1123.1719465172127,1123.1560325124942,1123.1553319993538
1123.173224985675,1123.1669876379367,1123.173065588001,1123.156340111662,1123.1556038791994
1123.1742198477998,1123.1677153078367,1123.1740536222849,1123.156611691998,1123.155843922826
1123.1750864453309,1123.1683491591652,1123.1749142722892,1123.156848257447,1123.1560530175977
1123.175827807205,1123.1688914075335,1123.1756505461617,1123.1570506349183,1123.1562318944
1123.1764476433327,1123.169344766635,1123.17626612835,1123.1572198372132,1123.1563814484255
1123.1769494255234,1123.1697117760084,1123.176764466834,1123.1573568121366,1123.1565025174168
1123.1773366255843,1123.1699949751915,1123.1771490095923,1123.157462507493,1123.1565959391169
1123.1776127720777,1123.1701969452317,1123.177423260969,1123.1575378865787,1123.1566625649607
1123.177781196191,1123.1703201228202,1123.1775905292882,1123.1575838588121,1123.156703198763
1123.177845454489,1123.1703671094842,1123.1776543467029,1123.157601395135,1123.156718698716
1123.1778089968543,1123.1703404287232,1123.1776181394177,1123.157591437364,1123.1567098972707
1123.1776753144989,1123.1702426342747,1123.177485374683,1123.1575549386039,1123.1566776368545
1123.17744788264,1123.170076268168,1123.1772595038638,1123.1574928475882,1123.1566227560306
1123.1771301730873,1123.1698438699414,1123.1769439749398,1123.1574061121212,1123.156546092542
1123.1767256576484,1123.169547979134,1123.1765422358906,1123.1572956800078,1123.1564484841313
1123.1762376728593,1123.1691910363384,1123.176057600352,1123.1571624621238,1123.1563307359006
1123.1756699410703,1123.1687757643547,1123.1754937651256,1123.1570074746703,1123.1561937460472
1123.1750258197087,1123.1683046190556,1123.1748540645938,1123.1568316342257,1123.1560383247136
1123.174308587968,1123.1677799990923,1123.174141755445,1123.156635836013,1123.1558652631668
1123.17352208555,1123.1672047130994,1123.1733606510256,1123.1564211282682,1123.1556754879186
1123.1726696098726,1123.1665811730568,1123.1725140261221,1123.1561884111882,1123.155469794632
1123.1717546327434,1123.165911918503,1123.1716053287134,1123.1559386325775,1123.1552490210504
1123.1707806259708,1123.165199488977,1123.1706380067792,1123.1556727402408,1123.1550140049158
1123.1697507909607,1123.1644462262336,1123.169615239752,1123.155391608166,1123.1547655187264
1123.168669127436,1123.1636550559497,1123.168540999902,1123.155096328271,1123.1545045276039
1123.1675388505816,1123.1628283299597,1123.1674184803474,1123.154787778306,1123.1542318073703
1123.1663631257954,1123.1619683636827,1123.1662508247598,1123.1544668224296,1123.153948121837
1123.165146027482,1123.161078137417,1123.1650420795793,1123.1541345729463,1123.1536544541434
1123.1638907321521,1123.1601599747107,1123.1637953995141,1123.1537918970484,1123.1533515707813
1123.1626007116138,1123.1592164151018,1123.1625142325436,1123.15343974254,1123.153040309493
1123.1612794376756,1123.1582499981291,1123.1612020266475,1123.1530790572265,1123.1527215080216
1123.1599300335042,1123.1572630083263,1123.159861883557,1123.1527106937388,1123.1523959199883
1123.1585566624108,1123.156258491015,1123.1584979380073,1123.1523357886495,1123.1520645499836
1123.1571624542307,1123.1552387356057,1123.157113298352,1123.1519551964102,1123.1517281532372
1123.155750517459,1123.1542060159027,1123.1557110517515,1123.151569765648,1123.151387479832
1123.1543250474174,1123.153163400637,1123.1542953647327,1123.1511806416727,1123.1510435420803
1123.1528891566027,1123.152113166539,1123.1528693284292,1123.1507886742036,1123.1506970910293
1123.1514463168223,1123.1510578531472,1123.1514363908202,1123.1503948110444,1123.1503489644217
1123.1499999998853,1123.1500000000003,1123.1499999998853,1123.15,1123.15
1123.1485533076127,1123.1489418760257,1123.1485632361564,1123.1496050878777,1123.1496509462381
1123.1471104531176,1123.147886562959,1123.1471302838293,1123.14921122484,1123.1493028197378
1123.1456745377793,1123.146836329403,1123.1457042229974,1123.148819257573,1123.1489563688656
1123.1442486700823,1123.145793449162,1123.1442881408097,1123.1484300347038,1123.1486123437037
1123.14283705248,1123.1447609961685,1123.1428862108758,1123.148044703483,1123.1482717582805
1123.141442790347,1123.143741241951,1123.1415015172565,1123.1476641116885,1123.1479353619275
1123.1400693554917,1123.142736726049,1123.140137507932,1123.1472892071247,1123.1476039923875
1123.138720219723,1123.1417499879997,1123.138797630881,1123.1469209375964,1123.1472784874027
1123.1373985204095,1123.1407833227413,1123.1374850019395,1123.1465601596178,1123.146959604027
1123.13610840668,1123.1398397651915,1123.136203741759,1123.146208005878,1123.1466483434176
1123.1348530083503,1123.1389216047608,1123.1349569586725,1123.1458653308298,1123.1463454608065
1123.1336354907883,1123.1380311568696,1123.133747796323,1123.1455329986313,1123.146051720003
1123.1324599497918,1123.1371714174204,1123.1325803223967,1123.1452121274115,1123.1457681092957
1123.131329540508,1123.136344694356,1123.131457670385,1123.1449035785383,1123.1454953900275
1123.1302477347456,1123.1355535272155,1123.1303832882681,1123.1446082998166,1123.1452343999417
1123.129218004312,1123.1348004555364,1123.1293606240245,1123.1443272390504,1123.1449859767806
1123.1282435790174,1123.1340878418819,1123.1283928852956,1123.1440612779934,1123.1447508999056
1123.1273284302208,1123.1334185911212,1123.127484016184,1123.1438115007984,1123.144530127575
1123.1264757730669,1123.1327950550883,1123.1266372097668,1123.143578785215,1123.1443244356115
1123.1256888866997,1123.1322196324352,1123.1258557226806,1123.1433640264659,1123.1441346152815
1123.1249716464763,1123.1316951578021,1123.1251434036851,1123.143168282493,1123.143961601676
1123.124327314209,1123.131224017163,1123.1245034922044,1123.1429924437878,1123.1438061818797
1123.1237593617057,1123.1308087500558,1123.1239394362176,1123.1428374581542,1123.143669193635
1123.1232712607748,1123.1304518960194,1123.123454683704,1123.142704273397,1123.1435514746845
1123.1228663905597,1123.1301559268575,1123.123052590614,1123.14259381204,1123.1434538404264
1123.122548430863,1123.1299235341576,1123.1227368114946,1123.1425070786358,1123.1433771787606
1123.1223207390522,1123.1297571737946,1123.1225106806692,1123.142444989764,1123.1433222998317
1123.12218676494,1123.1296593692675,1123.1223776242723,1123.1424084872422,1123.1432900360903
1123.1221500496567,1123.1296327107232,1123.1223411591304,1123.142398537763,1123.143281241974
1123.1222140185728,1123.1296797037814,1123.1224046871032,1123.142416076472,1123.1432967440362
1123.1223821434962,1123.1298028879803,1123.1225716561698,1123.142462051173,1123.1433373800196
1123.1226578962348,1123.1300048028581,1123.1228455143096,1123.1425374096707,1123.1434039876663
1123.123044862159,1123.1302880710766,1123.1232298222835,1123.1426431307923,1123.1434974321394
1123.1235463157295,1123.1306550877102,1123.123727832079,1123.1427801084253,1123.1436185035259
1123.1241658134286,1123.131108454289,1123.1243430757684,1123.142949313511,1123.143768060018
1123.1249070326317,1123.131650860776,1123.1250792054866,1123.143151749995,1123.1439469889806
1123.1257730664563,1123.132284569593,1123.1259392931217,1123.1433882622562,1123.1441560367405
