heat_double_sin/cooled,heat_double_sin/middle,heat_double_sin/measure,heat_double_sin/1mmAbove,heat_double_sin/cooled_1mm_above
1123.15,1123.15,1123.15,1123.1499999999996,1123.15
1123.1572419663341,1123.152103808828,1123.1507394325172,1123.1507246939357,1123.1570943572317
1123.164045053227,1123.1540801221113,1123.1514340537612,1123.1514054697896,1123.163758780466
1123.1704197941763,1123.1559319998566,1123.1520849392434,1123.1520433816352,1123.170003588501
1123.1763718839975,1123.1576610964214,1123.1526926704248,1123.1526389993444,1123.1758343600789
1123.1819119651093,1123.1592705034543,1123.1532583339385,1123.1531933878905,1123.1812615206989
1123.1870502579784,1123.1607631900256,1123.153782973333,1123.1537075700217,1123.1862950825098
1123.1917930903608,1123.1621409943643,1123.1542672346957,1123.154182178948,1123.1909412442924
1123.1961507847648,1123.163406915184,1123.1547121719948,1123.1546182476288,1123.1952101181566
1123.2001322973372,1123.1645635542668,1123.1551186996876,1123.1550166722952,1123.1991104777007
1123.2037465842232,1123.1656135133949,1123.15548773223,1123.1553783491752,1123.2026510965225
1123.2070033900545,1123.1665596234075,1123.155820264587,1123.1557042534014,1123.2058415206332
1123.2099100057242,1123.1674040023263,1123.1561170411862,1123.1559951145643,1123.20868889232
1123.212476266439,1123.1681495073037,1123.1563790662403,1123.15625191686,1123.2112028463237
1123.2147116588383,1123.168798894231,1123.1566073083711,1123.1564756096034,1123.213392675923
1123.216623996679,1123.169354433023,1123.1568025653935,1123.1566669747067,1123.21526603561
1123.218222850296,1123.1698189038862,1123.1569658144754,1123.156826969861,1123.2168323006545
1123.219517175836,1123.1701949086025,1123.1570979700734,1123.1569564912957,1123.218100244654
1123.220515929445,1123.1704850489543,1123.1571999466444,1123.1570564352405,1123.2190786412054
1123.221228213655,1123.1706919692492,1123.1572726735924,1123.1571277125743,1123.2197764073096
1123.221662621902,1123.1708181659014,1123.157317028339,1123.157171183229,1123.2202019612469
1123.2218283289496,1123.1708663042014,1123.1573339476638,1123.1571877653128,1123.2203642907775
1123.2217342343754,1123.1708389694988,1123.1573243402472,1123.1571783493941,1123.220272114082
1123.2213893444036,1123.1707387781235,1123.1572891256592,1123.1571438367137,1123.219934253817
1123.2208026239632,1123.170568334409,1123.1572292192536,1123.1570851243796,1123.2193594921835
1123.2199830292009,1123.170330240138,1123.1571455354874,1123.1570031086223,1123.2185566027804
1123.2189395162632,1123.1700270970923,1123.1570389888172,1123.156898685671,1123.2175343592053
1123.2176806923462,1123.1696614056837,1123.156910458071,1123.1567727168363,1123.2163011932187
1123.216216159901,1123.1692359554477,1123.1567609236956,1123.1566261630228,1123.2148665115503
1123.214554580012,1123.1687532624499,1123.156591270021,1123.1564598909342,1123.2132387987494
1123.2127044119593,1123.1682157841321,1123.1564023607723,1123.156274747079,1123.2114263416768
1123.210675560905,1123.167626397968,1123.156195207304,1123.1560717226532,1123.2094388436017
1123.2084765331376,1123.166987575055,1123.1559706781413,1123.1558516688701,1123.2072846374335
1123.2061162848033,1123.1663019171751,1123.155729687741,1123.1556154819598,1123.2049724967708
1123.2036037720482,1123.165572026111,1123.1554731505598,1123.155364058151,1123.2025111952112
1123.2009472535005,1123.1648003010139,1123.1552019098351,1123.1550982238746,1123.1999088230511
1123.198157047093,1123.1639897392683,1123.1549170190674,1123.1548190116314,1123.1971754879191
1123.195241446996,1123.1631427503517,1123.1546193251238,1123.1545272514088,1123.19431931493
1123.192208618961,1123.1622617064334,1123.1543096617584,1123.1542237603426,1123.1913483033966
1123.189069073554,1123.1613496608593,1123.15398910214,1123.1539095902108,1123.188272749654
1123.1858310051894,1123.1604089941263,1123.1536584829505,1123.1535855610177,1123.185100681094
1123.1825033700125,1123.1594423080167,1123.1533187186456,1123.1532525689927,1123.181840871314
1123.1790951241703,1123.1584522043127,1123.1529707236832,1123.1529115103658,1123.1785020939128
1123.1756143244872,1123.1574410235419,1123.1526153206958,1123.1525631913726,1123.1750922414963
1123.1720717108476,1123.156411885666,1123.1522536062662,1123.1522086867392,1123.1716218350437
1123.1684753572733,1123.1553671362087,1123.1518864047835,1123.1518488044217,1123.168098784009
