heat_top_hat/cooled,heat_top_hat/middle,heat_top_hat/measure,heat_top_hat/1mmAbove,heat_top_hat/cooled_1mm_above
1123.15,1123.15,1123.15,1123.15,1123.15
1122.9013239884623,1123.077759355477,1123.124609642629,1123.1226236924613,1122.8819962686528
1122.6677183022923,1123.009896656422,1123.100757997997,1123.0969064507062,1122.630234165946
1122.4488212402655,1122.9463068282464,1123.0784081356278,1123.072808455679,1122.3943238783336
1122.2444372527048,1122.8869330635623,1123.0575400894782,1123.0503081796573,1122.17405465753
1122.0542008982477,1122.8316692012677,1123.038116547196,1123.029365391841,1121.969032659159
1121.8777612245633,1122.7804132893377,1123.0201016757915,1123.0099414565004,1121.7788796539992
1121.7149009479645,1122.7331022066323,1123.003473290131,1122.9920124532546,1121.6033614705325
1121.5652656122052,1122.6896329832366,1122.9881951994666,1122.9755393606342,1121.4420961032906
1121.4285476794437,1122.649916279082,1122.9742360035218,1122.960488322337,1121.2947521118233
1121.3044396118364,1122.6138627541,1122.9615643020188,1122.9468254820579,1121.1609980556789
1121.1926067963857,1122.5813752028596,1122.9501459302485,1122.9345140028374,1121.0404733149023
1121.092798877043,1122.5523808966648,1122.939955326318,1122.923526323415,1120.9329080751493
1121.004678130591,1122.5267817265635,1122.9309580079585,1122.913825264433,1120.837938364512
1120.9279188030089,1122.504483060667,1122.9231207149808,1122.9053749641992,1120.755213110554
1120.8622525840701,1122.485406954571,1122.9164160523326,1122.8981458849105,1120.684443149309
1120.8073508457576,1122.4694579414895,1122.9108104663837,1122.8921018484825,1120.625274310971
1120.76290605023,1122.4565466813533,1122.9062725568576,1122.8872089986123,1120.5773751550905
1120.7286106596425,1122.4465838340932,1122.9027709234763,1122.8834334789947,1120.5404142412149
1120.7041521095582,1122.4394785994095,1122.9002736527361,1122.8807408799587,1120.5140547116189
1120.6892353168912,1122.4351452553533,1122.8987506160172,1122.8790987163213,1120.4979785486235
1120.6835452369014,1122.4334922810947,1122.8981696465721,1122.8784723053589,1120.4918462214262
1120.6867762742122,1122.4344309008527,1122.8984995424535,1122.87882800461,1120.4953283830146
1120.698619171391,1122.4378712750165,1122.89970872781,1122.880131768465,1120.508091739698
1120.718766088983,1122.4437239758984,1122.9017657715692,1122.882349707415,1120.5298045259715
1120.7469094891462,1122.4518996634295,1122.9046392734538,1122.8854479651573,1120.5601353013844
1120.7827418340369,1122.4623089975412,1122.9082978331862,1122.8893926853877,1120.598752625485
1120.8259675681084,1122.4748661190342,1122.912711273907,1122.8941513309126,1120.6453379714128
1120.8762569605747,1122.4894752407665,1122.9178459293921,1122.8996876022466,1120.699535980882
1120.933312605505,1122.5060499660003,1122.9236714338545,1122.90596875849,1120.7610261328318
1120.996844026498,1122.5245059110334,1122.930158129026,1122.9129628216035,1120.829495374311
1121.066511098252,1122.5447442691063,1122.9372712873796,1122.920632347787,1120.9045771446297
1121.1420217302066,1122.5666801876012,1122.9449810858391,1122.9289451813008,1120.9859566512216
1121.2230683845185,1122.5902243264497,1122.953256124127,1122.937867465842,1121.0733024536353
1121.3093435233445,1122.6152873455826,1122.9620650019654,1122.947365345106,1121.1662831114195
1121.4005635603621,1122.641786862874,1122.9713787645794,1122.9574075995706,1121.264592997215
1121.4963741964189,1122.6696199540436,1122.981161237261,1122.9679552250611,1121.3678502748558
1121.5964906247268,1122.698703882419,1122.9913833406224,1122.978976867696,1121.47574800166
1121.7006324481924,1122.7289571923484,1123.0020164455157,1122.9904416590496,1121.5879839873733
1121.808438752979,1122.7602750379792,1123.0130237018586,1123.0023098667477,1121.7041692670346
1121.919628157753,1122.7925756777367,1123.0243763800106,1123.0145505140113,1121.8240005896516
1122.033893124671,1122.8257697715517,1123.0360430796936,1123.0271297445363,1121.9471465147726
1122.1509261158901,1122.859767979356,1123.047992400631,1123.0400137020201,1122.0732756019474
1122.2704504746441,1122.8944899320654,1123.0601960955694,1123.0531719298017,1122.202089691955
1122.3920974127493,1122.929828496323,1123.0726165104397,1123.0665638286353,1122.3331913334748
1122.5155896828921,1122.9657031314903,1123.085225337693,1123.0801588768472,1122.4662817308404
1122.6406519276202,1123.0020338459358,1123.097994462739,1123.0939267608178,1122.6010641251312
1122.7669125238974,1123.0387126827745,1123.1108859420638,1123.1078265692165,1122.7371380098425
1122.8940957599484,1123.075659547444,1123.1238716249009,1123.1218279494158,1122.8742062441918
1123.0218940979303,1123.1127850998755,1123.1369201109717,1123.1358970451115,1123.0119373877278
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1123.27813869928,1123.187224427749,1123.1630832376943,1123.1641065654765,1123.2880979585632
1123.4059369978909,1123.2243499687431,1123.1761317197454,1123.1781756568375,1123.4258290596686
1123.5331201683266,1123.2612968143515,1123.189117395883,1123.1921770298134,1123.5628972233026
1123.6594128531071,1123.2979849729345,1123.2020121515134,1123.2060803707795,1123.6990056905156
1123.7844427993323,1123.334306304631,1123.2147779788127,1123.2198446990647,1123.8337532759838
1123.9079349251176,1123.3701808978622,1123.2273867913264,1123.2334397313846,1123.966843517772
1124.0295816926212,1123.4055194125597,1123.2398071887778,1123.2468316114366,1124.0979449754302
1124.149075563999,1123.440232508654,1123.2520077708896,1123.259986482916,1124.226726208507
1124.266138622595,1123.474239451063,1123.2639601617707,1123.272873750465,1124.3528876999699
1124.3804033401696,1123.5074334724434,1123.2756268359956,1123.2854529535402,1124.4760333563681
1124.491592469355,1123.5397340321424,1123.2869794860092,1123.2976935704648,1124.5958643819772
1124.5994256129782,1123.5710596744836,1123.2979894826553,1123.3095647328037,1124.7120785864565
1124.7035399676088,1123.601305004687,1123.3086197829214,1123.3210265001612,1124.8242849683882
1124.803656041587,1123.6303888301295,1123.3188418501047,1123.332048103788,1124.932182313323
1124.8994662970692,1123.6582218107424,1123.328624283929,1123.3425956873823,1125.0354391808105
1124.9906631962126,1123.6847146064563,1123.3379356841162,1123.3526353946388,1125.1337241303986
1125.0769606329145,1123.7097841031457,1123.346746838616,1123.3621357286368,1125.2267288191047
1125.1580068279102,1123.7333281085625,1123.3550218300063,1123.3710579626124,1125.3140741265029
1125.2335169743033,1123.7552638860013,1123.362731578889,1123.3793707426719,1125.3954531097947
1125.303200595559,1123.7755070517217,1123.3698464269826,1123.387042090761,1125.4705527158837
1125.3667144170524,1123.7939578840815,1123.376331325207,1123.3940342163762,1125.5390029899859
1125.4237694976803,1123.8105324453848,1123.3821567720524,1123.4003153104964,1125.6004925337743
1125.474058299599,1123.8251413955622,1123.3872913672417,1123.405851516818,1125.6546899067976
1125.5172732849662,1123.8376953945453,1123.391703710497,1123.4106089790373,1125.7012636686045
1125.553115118564,1123.8481074851368,1123.395363239047,1123.414554743863,1125.7398912188985
1125.5812578494379,1123.8562829782388,1123.3982366725954,1123.4176529279243,1125.7702212730035
1125.601404071497,1123.8621354770676,1123.4002936453392,1123.4198707903047,1125.791933309685
1125.6132481891746,1123.8655762057874,1123.4015029553113,1123.4211746885214,1125.8046979817275
1125.6164765359888,1123.8665140439534,1123.401832576487,1123.4215300915805,1125.8081772437076
1125.610785681724,1123.864860844767,1123.401251527987,1123.4209035953795,1125.8020440820565
1125.595868088537,1123.860527268159,1123.3997284095335,1123.4192613436148,1125.7859670563228
1125.5714162185848,1123.8534239740607,1123.3972318208491,1123.4165694799824,1125.7596147260554
1125.5371124678686,1123.8434586981743,1123.3937293338804,1123.4127930400132,1125.7226448022807
1125.4926667930788,1123.8305471826116,1123.3891913345794,1123.4079000933461,1125.6747446987997
1125.4377641492604,1123.814597906479,1123.3835856561766,1123.4018559572328,1125.6155748845774
1125.3720787821508,1123.7955162378196,1123.3768790384588,1123.3946247699555,1125.5447842869182
1125.2953367127434,1123.7732225854415,1123.3690435075785,1123.3861763696443,1125.4620776324832
1125.2072149820433,1123.7476231294145,1123.3600460887246,1123.3764752023076,1125.3671068610993
1125.1074060522078,1123.7186285296707,1123.349855381621,1123.3654874116423,1125.2595405323157
1124.9956023853938,1123.6861494461407,1123.3384399859897,1123.3531791413443,1125.1390472056812
1124.8714630691538,1123.6500868433973,1123.3257650939336,1123.3395128609577,1125.005259472182
1124.7347440471578,1123.6103698228192,1123.3118057867753,1123.324461702748,1124.8579143068218
1124.5851075959197,1123.5669002753755,1123.2965275822185,1123.3079884873268,1124.6966477374033
1124.4222027628125,1123.5195762489573,1123.2798946472421,1123.2900545789328,1124.5210815343858
1124.2458053356409,1123.4683326096842,1123.2618840892974,1123.2706352944372,1124.3309740592426
1124.0555677869634,1123.4130684004667,1123.2424604250832,1123.249692375151,1124.1259507738334
1123.8511825789367,1123.3536942812361,1123.221592254321,1123.2271919647706,1123.9056802377067
1123.6323421737188,1123.2901209119236,1123.1992481767345,1123.2031002069925,1123.6698310104118
1123.398677310745,1123.2222410219442,1123.175390490023,1123.1773764505663,1123.418005131532
1123.15,1123.1500000000003,1123.15,1123.15,1123.15
1122.8859851385075,1123.073264743753,1123.1229969938013,1123.1208873545556,1122.8654740231736
1122.6064533530875,1122.991789728424,1123.0941304183584,1123.08978006716,1122.564277804261
1122.3114822169648,1122.9053656207423,1123.0631291863842,1123.056400523358,1122.2465475943354
1122.0009366578179,1122.8137211948808,1123.0297003560715,1123.0204475523037,1121.9121904985568
1121.6747511700464,1122.7166054639179,1122.9935581242607,1122.981627678283,1121.5611885889623
1121.3328602480506,1122.6137674409335,1122.9544166877952,1122.9396474255818,1121.1935239375894
1120.9751047940165,1122.50492749528,1122.9119789366378,1122.8942012193222,1120.8090780804366
1120.6016024239975,1122.3898903018405,1122.8659807306092,1122.8450187851654,1120.40802988421
1120.2121980861855,1122.2683777913605,1122.8161258372825,1122.7917954700526,1119.9902651577277
1119.8067204430724,1122.1401052630126,1122.7621140744768,1122.7342224825334,1119.5556525898905
1119.3853115397828,1122.0048873392525,1122.7036872267697,1122.6720357559898,1119.1043967278292
1118.9478041351301,1121.8624410734333,1122.6405462091207,1122.604927646214,1118.636370547035
1118.4941327235163,1121.7125154786338,1122.5724052183725,1122.532604677493,1118.1515561195458
1118.0242317993402,1121.554859567934,1122.498978451367,1122.454773374113,1117.6499355173992
1117.5379092908536,1121.3891789052116,1122.4199591422857,1122.3711180809885,1117.1313559265884
1117.0353486278061,1121.2153072622104,1122.3351018771123,1122.2813880830781,1116.596064877108
1116.5163619186276,1121.03295227829,1122.2441013530372,1122.185269248233,1116.0439138644922
1115.9807444493235,1120.8418129047552,1122.146645975751,1122.0824409012964,1115.4747371174644
1115.4287048838194,1120.6417359457091,1122.0424997686919,1121.9726621419466,1114.8888080667898
1114.860042738615,1120.432422620724,1121.931352820088,1121.855614043386,1114.2859652645027
1114.2746925081112,1120.2136219428805,1121.8129193267825,1121.7310031299005,1113.6661907826415
1113.6725886867073,1119.9850829252566,1121.6869134856167,1121.5985359257763,1113.029466693243
1113.0535051552715,1119.7464922132979,1121.5530141914944,1121.4578818864934,1112.3756055385084
1112.4176933041479,1119.497720901527,1121.4110041235556,1121.3088194747654,1111.7049240992956
1111.764931328556,1119.2384582249579,1121.2605642251142,1121.1510202701238,1111.017239264069
1111.0949800645647,1118.9683826740697,1121.10136680623,1120.9841469044766,1110.3123505075848
1110.4081169417982,1118.687381460529,1120.9332074961985,1120.8079912622563,1109.5906007318188
1109.7041071609947,1118.3951358571708,1120.7557608730203,1120.6222183248458,1108.851793771561
1108.982885216553,1118.0913948770742,1120.568741133538,1120.4265346165319,1108.0959116988497
1108.2443856028744,1117.7759075333183,1120.371862474593,1120.2206466615996,1107.322936585722
1107.4883470799919,1117.4483374399556,1120.164784768311,1120.0042042168643,1106.532646036797
1106.715091145745,1117.1086012402075,1119.947328153988,1119.7770245412548,1105.7254266713749
1105.9243610086926,1116.7563656517818,1119.7191551375602,1119.5387601167524,1104.9010604770594
1105.1158819815162,1116.3912845913724,1119.47991724996,1119.2890520731003,1104.059311880853
1104.290002406441,1116.0132939041296,1119.2294510933373,1119.0277346979456,1103.2005938435184
1103.4464520949905,1115.6220508031897,1118.9674110519652,1118.7544520716215,1102.3246751888123
1102.5851655415647,1115.2173043016328,1118.6935113226864,1118.4689107184142,1101.4315379887732
1101.7060772405637,1114.7988034125367,1118.4074661023426,1118.1708171626096,1100.521164315438
1100.8088897577372,1114.366184605603,1118.1089115567838,1117.8597966531286,1099.5932965420575
1099.8939968453203,1113.9194182986694,1117.7977146524574,1117.5357148635735,1098.6483917139483
1098.9611056517595,1113.4581445791787,1117.473514774423,1117.1982003691455,1097.686196624066
1098.0099048929014,1112.9819886770806,1117.1359379909895,1116.8468679881955,1096.7064403578715
1097.04081597047,1112.4909432969278,1116.784871244156,1116.481604030042,1095.70960652249
1096.0535322333253,1111.9846374791985,1116.4199440409704,1116.1020268647396,1094.695428636858
1095.0479881758674,1111.4628202369722,1116.0408705782754,1115.707843016575,1093.6638887730132
1094.0241182924974,1110.9252405833288,1115.6473650529135,1115.2987590098346,1092.6149690029933
1092.98158788123,1110.3715037306563,1115.2390352409602,1114.8743707763138,1091.548376174891
1091.9208650955954,1109.8016420973292,1114.8158043030105,1114.4346020227483,1090.464638347617
1090.841619950479,1109.2152650275657,1114.3772838197501,1113.979052608331,1089.3634668256902
1089.7435034914422,1108.611964951612,1113.9230697133662,1113.5073062307888,1088.2445550592417
1088.6271006245336,1107.991872788319,1113.4531722851402,1113.0193798576915,1087.1085337090994
1087.4925086521307,1107.3549509374395,1112.9675097435902,1112.5152064301822,1085.9554797944095
1086.340191856191,1106.701387185923,1112.466178200188,1111.9949065812625,1084.785830305791
1085.1706145186715,1106.0313693207167,1111.9492737664061,1111.4586009439345,1083.6000222338637
1083.983935079478,1105.3449073620482,1111.416754281947,1110.906266757658,1082.3981829822646
1082.7812253828654,1104.642540537985,1110.868988476426,1110.3383074219896,1081.1813648584227
1081.5626481094089,1103.9242830091548,1110.305938139548,1109.7547042278027,1079.9496992350068
1080.3283496892057,1103.1901326620211,1109.727549407655,1109.1554224446093,1078.7033022789012
1079.0794263427492,1102.4406531364202,1109.134214490908,1108.5408895045214,1077.4432491067003
1077.8160283841853,1101.6758463149745,1108.5258834018275,1107.9110746358053,1076.1696595186606
1076.5386200954708,1100.8958999846332,1107.9026522518855,1107.2660984714632,1074.8829705054027
1075.2476657585635,1100.1010019323446,1107.264617152554,1106.6060816444965,1073.583619057545
1073.9432941654463,1099.2911307839654,1106.611705227418,1105.9309700929368,1072.2717048524826
1072.6266374071897,1098.46688894094,1105.9443468351894,1105.2412300662854,1070.948336545201
